Przedmieście Świdnickie,51.1022607753,17.0299102434
Poświętne,51.1571520346,17.0367535517
Gajowice,51.0989261404,17.0154072656
Leśnica,51.1521186165,16.8512468408
Ołbin,51.1219894426,17.0545376386
Strachowice,51.1039292293,16.9055764564
Stare Miasto,51.1087734855,17.0152888561
Kleczków,51.1298246389,17.0294668619
Szczepin,51.1174965998,17.0117881352
Przedmieście Oławskie,51.10119469,17.04987195
Jagodno,51.05171248,17.0568805
Krzyki,51.07832814,17.05366325
Popowice Północne,51.12979813,16.99179149
Wojszyce,51.06139446,17.03817473
Nadodrze,51.12134328,17.03346489
Klecina,51.06347247,16.97868872
Zawidawie,51.1461765,17.10941062
Swojczyce,51.11548729,17.13445353
Tarnogaj,51.08343394,17.06142425
Brochów,51.06533029,17.07431202
Gądów,51.12419868,16.96731062
Huby,51.09382443,17.04529818
Maślice,51.15744047,16.92773209
Gaj,51.07570826,17.04102843
Grabiszyn,51.101051255949045,16.99683413957145
Karłowice,51.13916293,17.04927085
Grabiszynek,51.086038879436586,16.991938705842628
Muchobór Wielki,51.0975663,16.94837366
Nowy Dwór,51.11537634,16.9588994
Powstańców Śląskich,51.0900547,17.01706886
Bartoszowice,51.10342507,17.11615717
Oporów,51.07700099,16.96410281
Popowice Południowe,51.11816863,16.98615054
Psie Pole,51.14384084,17.10901451
Wysoka,51.04747719,17.00526948
Szczytniki,51.11641014,17.07539286
Iwiny,51.04078928,17.07583453
Księże,51.0801109,17.0838045
Plac Grunwaldzki,51.11268172,17.06436527
Biskupin,51.10079933,17.0997682
Kowale,51.12724857,17.10818572
Różanka,51.14344931,17.01956012
Ołtaszyn,51.05342284,17.01987122
Pawłowice,51.16927085,17.09965091
Partynice,51.06032331,16.99968824
Muchobór Mały,51.10833842,16.96628072
Strachocin,51.10345002,17.14464666
Borek,51.08007719,17.01199542
Dąbie,51.10286077,17.08352574
Polanowice,51.16275659,17.04350563
Sołtysowice,51.15153168,17.07495732
Sępolno,51.11072881,17.09476935
Radwanice,51.04878911,17.11073496
Kozanów,51.13900041,16.97585089
Żerniki,51.12413373,16.92502778
Osobowice,51.15224297,16.99408349
Pilczyce,51.14199276,16.95716663
Zalesie,51.11759701,17.08363814
Kuźniki,51.12445483,16.9486935
Lipa Piotrowska,51.17564656,16.99343081
Pracze Odrzańskie,51.18602717,16.90937524
Widawa,51.17742997,17.01682609
Rędzin,51.17135236,16.96176521
Zacisze,51.12281108,17.07640169
Radomierzyce,51.04390633,17.05165449
Wojnów,51.10075963,17.15972254
Świniary,51.19172544,16.97747632
Jerzmanowo,51.12246132,16.87383597
